Emotion,Time,Score
Happy,400,3.5
Sad,400,1.1
Pain,400,1.1
Stress,400,1.4
Tired,400,2.1
Meaning,400,3.3
Happy,500,3.7
Sad,500,0.6
Pain,500,0.9
Stress,500,1.4
Tired,500,1.8
Meaning,500,3.7
Happy,600,4.0
Sad,600,0.7
Pain,600,1.0
Stress,600,1.7
Tired,600,1.7
Meaning,600,3.9
Happy,700,4.0
Sad,700,0.7
Pain,700,1.0
Stress,700,1.9
Tired,700,2.0
Meaning,700,4.3
Happy,800,4.0
Sad,800,0.8
Pain,800,1.2
Stress,800,2.0
Tired,800,2.2
Meaning,800,4.3
Happy,900,4.1
Sad,900,0.9
Pain,900,1.2
Stress,900,2.0
Tired,900,2.2
Meaning,900,4.4
Happy,1000,4.1
Sad,1000,0.9
Pain,1000,1.1
Stress,1000,2.0
Tired,1000,2.2
Meaning,1000,4.4
Happy,1100,4.0
Sad,1100,0.9
Pain,1100,1.1
Stress,1100,1.8
Tired,1100,2.1
Meaning,1100,4.2
Happy,1200,4.1
Sad,1200,0.8
Pain,1200,1.1
Stress,1200,1.7
Tired,1200,2.2
Meaning,1200,4.1
Happy,1300,4.1
Sad,1300,0.7
Pain,1300,1.1
Stress,1300,1.8
Tired,1300,2.1
Meaning,1300,4.2
Happy,1400,4.0
Sad,1400,0.8
Pain,1400,1.1
Stress,1400,1.9
Tired,1400,2.1
Meaning,1400,4.2
Happy,1500,4.0
Sad,1500,0.8
Pain,1500,1.1
Stress,1500,1.9
Tired,1500,2.3
Meaning,1500,4.3
Happy,1600,4.1
Sad,1600,0.8
Pain,1600,1.1
Stress,1600,1.7
Tired,1600,2.3
Meaning,1600,4.2
Happy,1700,4.3
Sad,1700,0.7
Pain,1700,1.0
Stress,1700,1.4
Tired,1700,2.4
Meaning,1700,4.3
Happy,1800,4.2
Sad,1800,0.8
Pain,1800,1.0
Stress,1800,1.4
Tired,1800,2.5
Meaning,1800,4.3
Happy,1900,4.4
Sad,1900,0.8
Pain,1900,1.0
Stress,1900,1.2
Tired,1900,2.6
Meaning,1900,4.3
Happy,2000,4.3
Sad,2000,0.7
Pain,2000,1.1
Stress,2000,1.2
Tired,2000,2.8
Meaning,2000,4.0
Happy,2100,4.1
Sad,2100,0.6
Pain,2100,1.3
Stress,2100,1.2
Tired,2100,2.9
Meaning,2100,3.9
Happy,2200,4.1
Sad,2200,0.8
Pain,2200,1.1
Stress,2200,1.2
Tired,2200,2.8
Meaning,2200,4.0
Happy,2300,4.0
Sad,2300,0.8
Pain,2300,1.0
Stress,2300,1.2
Tired,2300,2.6
Meaning,2300,3.7
