Time,PC,L,W,HA,ED,T,E,HAPPY,SAD,PAIN,STRESS,TIRED,MEANING
400,74,1,1,1,0,0,0,3.5,1.1,1.1,1.4,2.1,3.3
500,68,2,1,1,1,1,0,3.7,0.6,0.9,1.4,1.8,3.7
600,53,3,3,2,1,1,0,4.0,0.7,1.0,1.7,1.7,3.9
700,33,4,6,4,2,2,0,4.0,0.7,1.0,1.9,2.0,4.3
800,17,4,12,5,3,3,1,4.0,0.8,1.2,2.0,2.2,4.3
900,9,6,15,5,2,2,1,4.1,0.9,1.2,2.0,2.2,4.4
1000,5,7,16,5,2,2,2,4.1,0.9,1.1,2.0,2.2,4.4
1100,3,7,16,6,2,2,2,4.0,0.9,1.1,1.8,2.1,4.2
1200,2,6,12,5,7,2,1,4.1,0.8,1.1,1.7,2.2,4.1
1300,2,8,14,5,4,2,1,4.1,0.7,1.1,1.8,2.1,4.2
1400,2,8,15,4,1,3,1,4.0,0.8,1.1,1.9,2.1,4.2
1500,2,9,14,5,1,3,1,4.0,0.8,1.1,1.9,2.3,4.3
1600,2,11,12,5,1,4,1,4.1,0.8,1.1,1.7,2.3,4.2
1700,2,12,7,7,3,5,1,4.3,0.7,1.0,1.4,2.4,4.3
1800,2,14,4,7,6,3,1,4.2,0.8,1.0,1.4,2.5,4.3
1900,3,18,3,5,6,2,1,4.4,0.8,1.0,1.2,2.6,4.3
2000,4,22,2,3,3,1,0,4.3,0.7,1.1,1.2,2.8,4.0
2100,8,21,2,2,1,1,0,4.1,0.6,1.3,1.2,2.9,3.9
2200,17,13,2,1,0,0,0,4.1,0.8,1.1,1.2,2.8,4.0
2300,27,6,1,1,0,0,0,4.0,0.8,1.0,1.2,2.6,3.7
2400,35,4,1,0,0,0,0,3.9,0.9,1.0,1.2,2.4,3.7
