Time,PC,L,W,HA,ED,T,E,HAPPY,SAD,PAIN,STRESS,TIRED,MEANING
400,74,1,1,1,0,0,0,3.5,1.1,1.0,1.4,2.1,3.1
415,74,1,1,0,1,0,0,3.4,1.1,1.0,1.4,2.1,3.2
430,72,1,1,0,1,0,0,3.4,1.1,1.2,1.4,2.2,3.2
445,72,1,1,0,0,0,0,3.4,1.0,1.1,1.4,2.2,3.3
500,68,2,1,1,1,1,0,3.7,0.7,0.9,1.3,1.8,3.6
515,67,2,1,1,1,1,0,3.7,0.7,0.9,1.3,1.8,3.9
530,63,2,2,1,1,1,0,3.7,0.6,0.9,1.3,1.8,3.7
545,62,2,2,1,1,1,0,3.7,0.5,0.8,1.5,1.7,3.8
600,53,3,3,2,1,1,0,3.7,0.9,1.2,1.6,1.8,3.8
615,51,3,3,2,1,1,0,3.7,0.9,1.2,1.8,1.7,3.7
630,44,3,4,3,2,2,0,3.9,0.7,0.8,1.6,1.6,3.9
645,43,4,5,3,1,1,0,4.3,0.6,0.9,1.7,1.7,4.1
700,33,4,6,4,2,2,0,4.1,0.7,1.1,1.8,2.0,4.4
715,31,4,7,4,2,2,0,4.0,0.7,1.1,1.9,1.9,4.4
730,26,4,8,4,2,3,1,4.1,0.6,0.9,1.8,2.0,4.3
745,24,4,9,3,2,3,1,4.0,0.6,1.0,1.9,2.1,4.3
800,17,4,12,5,3,3,1,4.1,0.7,1.1,2.0,2.2,4.3
815,16,5,13,4,2,2,1,4.0,0.9,1.2,2.0,2.2,4.3
830,13,5,14,4,2,2,1,4.1,0.8,1.2,1.9,2.2,4.3
845,13,6,14,4,2,1,1,4.0,0.9,1.2,2.0,2.1,4.2
900,9,6,15,5,2,2,1,4.0,0.8,1.2,1.9,2.2,4.2
915,8,6,16,5,2,2,1,4.1,0.9,1.2,2.0,2.2,4.3
930,7,6,16,4,1,2,1,4.1,0.9,1.1,2.0,2.2,4.4
945,7,7,16,4,1,2,1,4.1,0.9,1.1,2.0,2.1,4.4
1000,5,7,16,5,2,2,2,4.2,0.9,1.1,2.0,2.1,4.5
1015,4,7,16,5,1,2,2,4.2,0.9,1.2,2.0,2.1,4.4
1030,4,7,16,5,1,2,1,4.1,0.9,1.2,2.0,2.2,4.4
1045,4,7,16,5,1,2,2,4.2,0.9,1.1,2.0,2.2,4.4
1100,3,7,16,6,2,2,2,4.1,0.9,1.1,2.0,2.2,4.3
1115,2,7,16,6,2,1,1,4.0,0.9,1.1,1.9,2.2,4.3
1130,2,7,15,6,3,2,1,4.0,0.9,1.1,1.8,2.0,4.2
1145,2,7,15,5,3,2,2,4.0,0.8,1.1,1.8,2.0,4.2
1200,2,6,12,5,7,2,1,4.1,0.8,1.1,1.7,2.2,4.1
1215,2,7,12,5,7,2,1,4.0,0.9,1.2,1.8,2.2,4.1
1230,2,8,13,5,5,2,1,4.1,0.8,1.1,1.7,2.3,4.2
1245,2,8,14,5,5,2,1,4.2,0.8,1.1,1.7,2.2,4.1
1300,2,8,14,5,4,2,1,4.0,0.7,1.1,1.7,2.1,4.2
1315,2,8,15,4,3,2,1,4.1,0.8,1.1,1.7,2.1,4.1
1330,3,8,15,4,2,2,1,4.1,0.7,1.1,1.8,2.1,4.2
1345,3,9,16,4,2,2,1,4.1,0.7,1.0,1.8,2.1,4.2
1400,2,8,15,4,1,3,1,4.0,0.8,1.0,1.9,2.3,4.1
1415,2,9,15,4,1,2,1,4.0,0.8,1.0,1.9,2.2,4.3
1430,2,9,15,4,1,3,1,4.0,0.8,1.1,1.8,2.2,4.2
1445,2,10,15,4,1,2,1,4.0,0.8,1.1,1.9,2.1,4.1
1500,2,9,14,5,1,3,1,4.0,0.8,1.0,1.8,2.1,4.2
1515,2,10,14,5,1,3,1,4.0,0.8,1.1,1.9,2.2,4.3
1530,2,10,14,5,1,3,1,4.0,0.8,1.1,1.8,2.3,4.4
1545,2,11,14,4,1,2,1,4.0,0.9,1.2,1.9,2.4,4.3
1600,2,11,12,5,1,4,1,4.0,0.8,1.0,1.8,2.3,4.1
1615,2,11,12,5,2,3,1,4.0,0.9,1.1,1.8,2.3,4.1
1630,2,11,10,6,2,4,1,4.1,0.8,1.1,1.7,2.3,4.2
1645,2,12,10,6,2,3,1,4.1,0.8,1.0,1.5,2.2,4.2
1700,2,12,7,7,3,5,1,4.3,0.7,1.0,1.4,2.3,4.3
1715,2,13,6,7,4,3,1,4.3,0.7,0.9,1.3,2.3,4.2
1730,2,13,5,7,5,4,1,4.3,0.7,1.0,1.3,2.4,4.3
1745,2,14,5,7,5,3,1,4.2,0.8,1.0,1.4,2.5,4.4
1800,2,14,4,7,6,3,1,4.2,0.8,1.1,1.4,2.6,4.4
1815,2,15,4,6,7,2,1,4.2,0.9,1.0,1.5,2.6,4.3
1830,2,16,3,6,6,2,1,4.3,0.8,0.9,1.3,2.5,4.4
1845,2,17,3,5,6,2,1,4.2,0.8,1.0,1.3,2.6,4.3
1900,3,18,3,5,6,2,1,4.3,0.8,1.0,1.3,2.5,4.3
1915,2,19,3,4,5,1,1,4.3,0.8,1.0,1.3,2.7,4.3
1930,3,21,2,4,4,2,1,4.3,0.7,1.1,1.1,2.6,4.3
1945,3,22,3,3,3,1,0,4.4,0.8,1.0,1.1,2.6,4.3
2000,4,22,2,3,3,1,0,4.3,0.6,1.0,1.1,2.7,4.0
2015,4,23,2,3,2,1,0,4.3,0.7,1.1,1.2,2.8,4.0
2030,5,23,2,2,2,1,0,4.3,0.7,1.1,1.2,2.8,4.0
