Time,PC,L,W,HA,ED,T,E,HAPPY,SAD,PAIN,STRESS,TIRED,MEANING
400,77,1,0,0,0,0,0,4.2,1.3,1.6,1.5,3.2,4.4
415,76,1,1,0,0,0,0,4.2,0.8,1.3,1.2,2.9,4.6
430,75,1,1,0,0,0,0,4.3,1.1,1.6,1.6,2.5,4.8
445,75,1,1,0,0,0,0,4.4,0.9,1.4,1.2,2.4,4.7
500,72,2,1,0,0,0,0,4.5,0.9,1.0,1.0,1.8,4.4
515,72,2,1,0,0,0,0,4.6,0.8,1.1,1.0,1.8,4.4
530,69,2,1,1,0,0,0,4.5,0.9,0.9,1.3,1.8,4.5
545,68,2,1,1,0,0,0,4.5,1.0,1.0,1.2,1.8,4.8
600,61,2,1,2,1,0,0,4.6,0.6,1.2,0.8,1.7,4.7
615,61,2,1,1,1,0,0,4.7,0.7,1.2,0.7,1.6,4.8
630,56,3,1,2,1,1,0,4.7,0.8,1.0,1.0,1.7,4.6
645,54,3,1,2,1,1,0,4.8,0.9,1.2,0.9,1.6,4.7
700,44,4,1,4,2,1,0,4.5,0.7,1.1,1.1,1.7,4.3
715,43,4,2,4,2,1,0,4.5,0.6,1.3,1.1,1.7,4.6
730,37,5,2,4,3,1,0,4.4,0.7,1.2,1.2,1.7,4.3
745,35,6,2,4,3,1,0,4.5,0.8,1.3,1.3,1.7,4.4
800,26,7,2,7,4,1,0,4.5,0.6,1.1,1.2,1.6,4.3
815,25,8,2,6,4,1,0,4.5,0.6,1.0,1.2,1.6,4.4
830,21,9,2,7,4,2,0,4.6,0.7,0.9,1.2,1.5,4.4
845,20,10,3,6,3,1,0,4.6,0.7,0.8,1.3,1.7,4.4
900,13,10,3,8,3,2,0,4.5,0.7,0.7,1.2,1.7,4.1
915,13,11,3,8,3,2,0,4.6,0.7,0.8,1.3,1.7,4.2
930,11,11,3,8,3,2,0,4.4,0.8,0.8,1.3,1.7,4.1
945,10,12,3,8,3,2,0,4.4,0.7,0.9,1.2,1.8,4.1
1000,7,11,3,9,2,3,1,4.6,0.6,0.8,1.1,1.7,4.4
1015,7,12,4,9,2,2,1,4.5,0.7,1.0,1.2,1.8,4.4
1030,6,12,4,9,2,3,0,4.5,0.8,1.1,1.3,1.8,4.4
1045,6,12,4,9,2,2,0,4.6,0.7,1.1,1.1,1.8,4.5
1100,4,12,4,10,2,3,1,4.6,0.6,1.0,1.1,1.7,4.5
1115,4,13,4,9,2,3,1,4.6,0.6,1.0,1.1,1.7,4.5
1130,3,13,4,9,3,3,1,4.7,0.6,0.9,1.1,1.6,4.4
1145,3,13,4,9,3,3,1,4.6,0.6,0.9,1.1,1.6,4.4
1200,3,12,3,9,5,4,1,4.7,0.6,0.9,1.2,1.8,4.5
1215,3,13,3,9,5,3,1,4.6,0.6,0.9,1.2,1.8,4.4
1230,3,14,3,8,4,3,1,4.5,0.7,1.0,1.3,1.8,4.2
1245,3,14,3,7,4,3,1,4.5,0.7,1.0,1.3,1.8,4.3
1300,3,14,3,8,4,3,1,4.4,0.8,1.1,1.2,1.9,4.2
1315,3,14,3,7,4,3,1,4.4,0.7,1.1,1.2,1.9,4.3
1330,3,15,3,8,3,3,1,4.4,0.7,1.1,1.3,1.9,4.2
1345,3,16,3,8,2,3,1,4.4,0.6,1.0,1.2,1.9,4.2
1400,3,15,3,8,3,3,1,4.4,0.6,1.1,1.1,1.9,4.3
1415,3,16,3,8,2,3,1,4.4,0.7,1.1,1.2,2.0,4.3
1430,3,16,4,8,2,3,1,4.4,0.7,1.1,1.2,2.1,4.3
1445,3,17,4,8,2,2,1,4.4,0.7,1.1,1.3,2.1,4.3
1500,3,17,3,8,2,3,1,4.4,0.6,1.1,1.3,2.1,4.3
